"Name","Brand","Servings","Weight","Weight1","Calories","TotalFat","SatFat","Cholesterol","Sodium","Carbohydrate","Sugars","Fiber","Protein","VitaminA","VitaminC","Calcium","Iron"
"Snickers Peanut Butter","M&M/Mars",1.000000,2.000000,2.000000,310.000000,20.000000,7.000000,5.000000,150.000000,28.000000,23.000000,1.000000,6.000000,0.000000,0.000000,6.000000,2.000000
"Cookies 'n' Mint","Hershey",1.000000,1.550000,1.550000,230.000000,12.000000,6.000000,10.000000,80.000000,27.000000,21.000000,1.000000,4.000000,0.000000,0.000000,8.000000,4.000000
"Cadbury Dairy Milk","Hershey",3.500000,5.000000,1.42857142857143,220.000000,12.000000,8.000000,10.000000,45.000000,24.000000,21.000000,1.000000,3.000000,0.000000,0.000000,10.000000,2.000000
"Snickers","M&M/Mars",3.000000,3.700000,1.23333333333333,170.000000,8.000000,3.000000,5.000000,85.000000,21.000000,17.000000,1.000000,3.000000,0.000000,0.000000,2.000000,0.000000
"Sugar Daddy","Charms",1.000000,1.700000,1.700000,200.000000,2.500000,2.500000,2.000000,100.000000,43.000000,28.000000,0.000000,1.000000,0.000000,0.000000,4.000000,0.000000
"Twix Peanut Butter","M&M/Mars",1.000000,1.710000,1.710000,260.000000,16.000000,5.000000,5.000000,130.000000,26.000000,17.000000,2.000000,5.000000,0.000000,0.000000,2.000000,2.000000
"Twizzler","Hershey",1.000000,2.200000,2.200000,190.000000,1.500000,0.000000,0.000000,150.000000,42.000000,24.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.000000
"Toblerone","Tobler",1.000000,1.230000,1.230000,190.000000,11.000000,7.000000,5.000000,25.000000,21.000000,19.000000,0.000000,2.000000,0.000000,0.000000,6.000000,0.000000
"Crunch","Nestle",1.000000,1.550000,1.550000,230.000000,12.000000,7.000000,5.000000,60.000000,28.000000,23.000000,1.000000,3.000000,0.000000,0.000000,8.000000,0.000000
"Almond Joy","Hershey",2.000000,3.220000,1.610000,230.000000,13.000000,8.000000,2.000000,85.000000,25.000000,17.000000,3.000000,2.000000,0.000000,0.000000,2.000000,2.000000
"Elana Mint","Sherwood",1.000000,1.600000,1.600000,200.000000,10.000000,6.000000,15.000000,10.000000,29.000000,26.000000,2.000000,2.000000,0.000000,0.000000,2.000000,7.000000
"Krackel","Hershey",1.000000,2.600000,2.600000,390.000000,21.000000,13.000000,10.000000,110.000000,45.000000,35.000000,1.000000,5.000000,0.000000,0.000000,10.000000,2.000000
"M&Ms Peanut","M&M/Mars",1.000000,1.740000,1.740000,250.000000,13.000000,5.000000,5.000000,25.000000,30.000000,25.000000,2.000000,5.000000,0.000000,0.000000,4.000000,2.000000
"Bit-O-Honey","Bit-O-Honey",1.000000,1.700000,1.700000,200.000000,4.000000,2.500000,0.000000,105.000000,41.000000,20.000000,0.000000,1.000000,0.000000,0.000000,2.000000,2.000000
"100 Grand","Nestle",1.000000,1.500000,1.500000,200.000000,8.000000,5.000000,10.000000,75.000000,30.000000,27.000000,0.000000,2.000000,0.000000,0.000000,4.000000,0.000000
"Skor","Hershey",1.000000,1.400000,1.400000,220.000000,13.000000,9.000000,20.000000,110.000000,23.000000,21.000000,0.000000,2.000000,0.000000,0.000000,4.000000,0.000000
"Twix Caramel","Hershey",1.000000,2.000000,2.000000,280.000000,14.000000,5.000000,5.000000,115.000000,37.000000,27.000000,0.000000,3.000000,0.000000,0.000000,4.000000,2.000000
"Milky Way Lite","M&M/Mars",1.000000,1.570000,1.570000,160.000000,5.000000,3.500000,0.000000,100.000000,33.000000,23.000000,0.000000,2.000000,0.000000,0.000000,4.000000,0.000000
"Mars","M&M/Mars",1.000000,1.760000,1.760000,240.000000,13.000000,4.000000,5.000000,70.000000,31.000000,26.000000,1.000000,3.000000,0.000000,0.000000,6.000000,2.000000
"Peanut Nut Roll","Pearson",1.000000,2.500000,2.500000,340.000000,16.000000,3.000000,0.000000,210.000000,40.000000,29.000000,2.000000,9.000000,0.000000,0.000000,4.000000,2.000000
"Raisinet","Nestle",1.000000,1.580000,1.580000,200.000000,8.000000,4.000000,3.000000,15.000000,31.000000,28.000000,2.000000,2.000000,0.000000,0.000000,4.000000,2.000000
"Elana Mocca","Sherwood",1.000000,1.600000,1.600000,230.000000,13.000000,7.000000,20.000000,35.000000,27.000000,26.000000,1.000000,3.000000,0.000000,0.000000,6.000000,6.000000
"Bar None","Hershey",1.000000,1.650000,1.650000,250.000000,15.000000,9.000000,5.000000,55.000000,25.000000,18.000000,1.000000,4.000000,0.000000,0.000000,4.000000,2.000000
"Almond Roca","Brown & Haley",1.000000,1.600000,1.600000,270.000000,19.000000,11.000000,20.000000,160.000000,25.000000,23.000000,0.000000,2.000000,6.000000,0.000000,2.000000,2.000000
"Payday","Leaf",1.000000,1.850000,1.850000,240.000000,12.000000,2.000000,0.000000,170.000000,28.000000,16.000000,1.000000,7.000000,0.000000,0.000000,4.000000,4.000000
"Super Hot Tamales","Just Born",1.000000,2.120000,2.120000,220.000000,0.000000,0.000000,0.000000,25.000000,55.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Rolo","Hershey",1.000000,1.910000,1.910000,260.000000,12.000000,8.000000,10.000000,95.000000,35.000000,30.000000,0.000000,2.000000,0.000000,0.000000,6.000000,0.000000
"Butterfinger","Nestle",1.000000,2.100000,2.100000,280.000000,11.000000,6.000000,0.000000,120.000000,41.000000,40.000000,1.000000,4.000000,0.000000,0.000000,0.000000,2.000000
"Big Cherry","Myerson",1.000000,1.750000,1.750000,230.000000,10.000000,5.000000,0.000000,36.000000,31.000000,1.000000,1.000000,4.000000,1.000000,1.000000,2.000000,7.000000
"Mr. Goodbar","Hershey",1.000000,2.600000,2.600000,420.000000,27.000000,12.000000,10.000000,35.000000,34.000000,28.000000,3.000000,9.000000,0.000000,0.000000,8.000000,4.000000
"Golden Collection","Hershey",1.000000,2.800000,2.800000,450.000000,29.000000,12.000000,10.000000,45.000000,37.000000,29.000000,3.000000,9.000000,0.000000,0.000000,15.000000,10.000000
"U-No (Green)","Annabelle",1.000000,1.500000,1.500000,250.000000,17.000000,11.000000,4.000000,45.000000,22.000000,20.000000,1.000000,3.000000,0.000000,0.000000,5.000000,5.000000
"Reese's Peanut Butter Cup","Hershey",1.000000,1.600000,1.600000,240.000000,14.000000,6.000000,2.000000,150.000000,24.000000,19.000000,1.000000,5.000000,0.000000,0.000000,2.000000,2.000000
"Skittles","M&M/Mars",1.000000,2.170000,2.170000,250.000000,2.500000,0.500000,0.000000,10.000000,56.000000,47.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Reese's Peanut Butter Cup Crunchy","Hershey",1.000000,1.600000,1.600000,250.000000,16.000000,6.000000,3.000000,75.000000,21.000000,16.000000,2.000000,6.000000,0.000000,0.000000,4.000000,2.000000
"Cup O Gold","Adams & Brook",1.000000,1.250000,1.250000,160.000000,8.000000,4.500000,3.000000,10.000000,23.000000,19.000000,0.000000,1.000000,0.000000,0.000000,2.000000,0.000000
"Baby Ruth","Nestle",1.000000,2.100000,2.100000,280.000000,12.000000,7.000000,0.000000,135.000000,38.000000,25.000000,2.000000,4.000000,0.000000,0.000000,2.000000,0.000000
"Tiger Milk","Weider",1.000000,1.250000,1.250000,160.000000,6.000000,1.000000,0.000000,90.000000,20.000000,16.000000,0.000000,6.000000,15.000000,10.000000,15.000000,15.000000
"Dove","M&M/Mars",4.000000,6.000000,1.500000,230.000000,13.000000,8.000000,10.000000,30.000000,25.000000,24.000000,1.000000,3.000000,2.000000,0.000000,6.000000,0.000000
"York Peppermint Patty","Hershey",1.000000,1.500000,1.500000,170.000000,4.000000,2.500000,0.000000,15.000000,33.000000,23.000000,0.000000,1.000000,0.000000,0.000000,0.000000,4.000000
"3 Musketeers","M&M/Mars",1.000000,2.130000,2.130000,260.000000,8.000000,4.000000,5.000000,110.000000,46.000000,40.000000,1.000000,2.000000,0.000000,0.000000,2.000000,2.000000
"U-No (Blue)","Annabelle",1.000000,1.500000,1.500000,250.000000,17.000000,11.000000,4.000000,45.000000,22.000000,20.000000,1.000000,3.000000,0.000000,0.000000,5.000000,5.000000
"Jr Mints","Tootsie",1.000000,1.600000,1.600000,190.000000,4.000000,2.500000,0.000000,10.000000,38.000000,37.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000
"Symphony (Blue)","Hershey",1.000000,1.500000,1.500000,240.000000,15.000000,8.000000,10.000000,60.000000,22.000000,19.000000,1.000000,4.000000,0.000000,0.000000,8.000000,2.000000
"KitKat","Hershey",1.000000,2.800000,2.800000,410.000000,22.000000,15.000000,10.000000,65.000000,48.000000,33.000000,1.000000,5.000000,0.000000,0.000000,10.000000,2.000000
"Whoppers","Leaf",1.000000,1.750000,1.750000,230.000000,10.000000,8.000000,0.000000,130.000000,36.000000,28.000000,1.000000,2.000000,0.000000,0.000000,8.000000,2.000000
"5th Avenue","Hershey",1.000000,2.000000,2.000000,280.000000,12.000000,5.000000,2.000000,95.000000,38.000000,26.000000,1.000000,5.000000,0.000000,0.000000,4.000000,4.000000
"Charleston Chew","Tootsie",1.000000,1.880000,1.880000,230.000000,7.000000,6.000000,0.000000,50.000000,40.000000,30.000000,1.000000,2.000000,0.000000,0.000000,4.000000,2.000000
"Kisses Almond","Hershey",4.500000,6.000000,1.33333333333333,210.000000,13.000000,7.000000,5.000000,25.000000,19.000000,17.000000,1.000000,4.000000,0.000000,0.000000,8.000000,4.000000
"Mound","Hershey",1.000000,1.900000,1.900000,250.000000,13.000000,11.000000,0.000000,80.000000,31.000000,21.000000,3.000000,2.000000,0.000000,0.000000,0.000000,6.000000
"Tiger Sport","Weider",1.000000,1.200000,1.200000,125.000000,2.000000,0.500000,0.000000,55.000000,21.000000,11.000000,2.000000,6.000000,6.000000,50.000000,20.000000,15.000000
"Peanut Butter GooGoo","Standard",1.000000,1.740000,1.740000,262.000000,16.000000,5.000000,0.000000,164.000000,24.000000,19.000000,0.000000,7.000000,0.000000,0.000000,2.000000,4.000000
"Cadbury Roast Almond","Hershey",3.500000,5.000000,1.42857142857143,220.000000,13.000000,7.000000,10.000000,80.000000,21.000000,18.000000,1.000000,4.000000,0.000000,0.000000,10.000000,2.000000
"Milky Way Dark","M&M/Mars",1.000000,1.770000,1.770000,220.000000,8.000000,4.000000,5.000000,85.000000,36.000000,30.000000,1.000000,1.000000,0.000000,0.000000,2.000000,2.000000
"M&Ms Almond","M&M/Mars",1.000000,1.310000,1.310000,200.000000,11.000000,3.500000,5.000000,15.000000,21.000000,18.000000,2.000000,3.000000,0.000000,0.000000,4.000000,2.000000
"Planters Original Pean","Nabisco",1.000000,1.600000,1.600000,230.000000,14.000000,1.500000,0.000000,70.000000,22.000000,13.000000,2.000000,6.000000,0.000000,0.000000,2.000000,4.000000
"Snickers Munch","M&M/Mars",1.000000,1.420000,1.420000,230.000000,15.000000,3.500000,10.000000,150.000000,17.000000,12.000000,2.000000,6.000000,2.000000,0.000000,2.000000,2.000000
"Milk Chocolate","Hershey",1.000000,1.550000,1.550000,230.000000,13.000000,9.000000,10.000000,40.000000,25.000000,22.000000,1.000000,3.000000,0.000000,0.000000,8.000000,2.000000
"Milky Way","M&M/Mars",1.000000,2.150000,2.150000,280.000000,11.000000,5.000000,5.000000,90.000000,43.000000,37.000000,1.000000,2.000000,0.000000,0.000000,6.000000,0.000000
"Look!","Annabelle",1.000000,1.500000,1.500000,190.000000,6.000000,4.000000,0.000000,90.000000,33.000000,17.000000,1.000000,2.000000,0.000000,0.000000,0.000000,5.000000
"M&Ms Plain","M&M/Mars",1.000000,1.690000,1.690000,230.000000,10.000000,6.000000,10.000000,35.000000,34.000000,31.000000,1.000000,2.000000,0.000000,0.000000,4.000000,2.000000
"Cadbury Fruit & Nut","Hershey",3.500000,5.000000,1.42857142857143,210.000000,11.000000,6.000000,5.000000,45.000000,24.000000,21.000000,1.000000,3.000000,0.000000,0.000000,8.000000,2.000000
"Abba-Zabba","Annabelle",1.000000,2.000000,2.000000,250.000000,5.000000,4.000000,0.000000,85.000000,48.000000,23.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000
"Kisses","Hershey",4.500000,6.000000,1.33333333333333,210.000000,12.000000,8.000000,10.000000,35.000000,23.000000,20.000000,1.000000,3.000000,0.000000,0.000000,8.000000,2.000000
"Whatchamacallit","M&M/Mars",1.000000,1.700000,1.700000,250.000000,13.000000,10.000000,5.000000,125.000000,29.000000,19.000000,1.000000,4.000000,0.000000,0.000000,4.000000,0.000000
"Symphony (Red)","Hershey",1.000000,1.500000,1.500000,230.000000,14.000000,9.000000,10.000000,40.000000,24.000000,21.000000,0.000000,3.000000,0.000000,0.000000,10.000000,2.000000
"Special Dark","Hershey",1.000000,2.600000,2.600000,410.000000,24.000000,15.000000,0.000000,5.000000,44.000000,34.000000,4.000000,4.000000,0.000000,0.000000,2.000000,10.000000
"M&Ms Peanut Butter","M&M/Mars",1.000000,1.630000,1.630000,240.000000,13.000000,8.000000,5.000000,95.000000,27.000000,22.000000,2.000000,5.000000,0.000000,0.000000,4.000000,2.000000
"Reese's Pieces","Hershey",1.000000,1.630000,1.630000,230.000000,10.000000,8.000000,0.000000,75.000000,28.000000,24.000000,1.000000,6.000000,0.000000,0.000000,4.000000,2.000000
"Chunky","Nestle",1.000000,1.400000,1.400000,200.000000,11.000000,6.000000,3.000000,20.000000,22.000000,20.000000,2.000000,3.000000,0.000000,0.000000,6.000000,2.000000
"Cadbury Caramello","Hershey",3.500000,5.000000,1.42857142857143,190.000000,9.000000,6.000000,10.000000,55.000000,25.000000,19.000000,0.000000,2.000000,0.000000,0.000000,8.000000,2.000000
"Milk Chocolate Almond","Hershey",1.000000,2.600000,2.600000,410.000000,25.000000,12.000000,15.000000,55.000000,38.000000,31.000000,2.000000,8.000000,0.000000,0.000000,15.000000,6.000000
"Reese's Nutrageous","Hershey",1.000000,1.600000,1.600000,240.000000,14.000000,4.500000,3.000000,85.000000,22.000000,18.000000,1.000000,7.000000,0.000000,0.000000,2.000000,2.000000
"Heath","Leaf",2.000000,2.800000,1.400000,210.000000,13.000000,7.000000,20.000000,180.000000,25.000000,24.000000,0.000000,2.000000,6.000000,0.000000,4.000000,2.000000
"Big Hunk","Annabelle",1.000000,2.000000,2.000000,230.000000,3.000000,0.500000,0.000000,150.000000,47.000000,23.000000,1.000000,3.000000,0.000000,0.000000,0.000000,6.000000
